company_id,cfo_sign,cfi_sign,cff_sign,capital_allocation_pattern
ABB,+,-,-,Growth/Dividend Payer
ABB,+,+,+,Unknown/Transition
ABB,-,-,+,Unknown/Transition
ABB,+,-,-,Growth/Dividend Payer
ABB,+,-,-,Growth/Dividend Payer
ABB,+,-,+,Leveraged Grower
ABB,+,-,+,Leveraged Grower
ABB,+,-,+,Leveraged Grower
ABB,+,-,-,Growth/Dividend Payer
ABB,+,-,-,Growth/Dividend Payer
ABB,+,-,+,Leveraged Grower
ABB,+,-,-,Growth/Dividend Payer
ABB,?,?,?,Unknown/Transition
ADANIENSOL,+,+,+,Unknown/Transition
ADANIENSOL,-,-,+,Unknown/Transition
ADANIENSOL,+,-,-,Growth/Dividend Payer
ADANIENSOL,+,-,-,Growth/Dividend Payer
ADANIENSOL,+,-,+,Leveraged Grower
ADANIENSOL,+,-,+,Leveraged Grower
ADANIENSOL,+,-,+,Leveraged Grower
ADANIENSOL,+,-,-,Growth/Dividend Payer
ADANIENSOL,+,-,-,Growth/Dividend Payer
ADANIENSOL,+,-,+,Leveraged Grower
ADANIENSOL,+,-,-,Growth/Dividend Payer
ADANIENSOL,?,?,?,Unknown/Transition
ADANIENT,+,-,+,Leveraged Grower
ADANIENT,+,-,-,Growth/Dividend Payer
ADANIENT,+,-,+,Leveraged Grower
ADANIENT,+,-,-,Growth/Dividend Payer
ADANIENT,+,-,+,Leveraged Grower
ADANIENT,+,-,+,Leveraged Grower
ADANIENT,+,+,-,Cash Accumulator/Asset Liquidation
ADANIENT,+,-,-,Growth/Dividend Payer
ADANIENT,+,-,+,Leveraged Grower
ADANIENT,+,-,+,Leveraged Grower
ADANIENT,+,-,-,Growth/Dividend Payer
ADANIENT,+,-,+,Leveraged Grower
ADANIENT,?,?,?,Unknown/Transition
ADANIGREEN,+,-,+,Leveraged Grower
ADANIGREEN,+,-,+,Leveraged Grower
ADANIGREEN,+,-,+,Leveraged Grower
ADANIGREEN,+,-,+,Leveraged Grower
ADANIGREEN,+,-,+,Leveraged Grower
ADANIGREEN,+,-,+,Leveraged Grower
ADANIGREEN,+,-,-,Growth/Dividend Payer
ADANIGREEN,+,-,+,Leveraged Grower
ADANIGREEN,?,?,?,Unknown/Transition
ADANIPORTS,+,-,+,Leveraged Grower
ADANIPORTS,+,-,+,Leveraged Grower
ADANIPORTS,+,-,-,Growth/Dividend Payer
ADANIPORTS,+,-,+,Leveraged Grower
ADANIPORTS,+,-,-,Growth/Dividend Payer
ADANIPORTS,+,-,-,Growth/Dividend Payer
ADANIPORTS,+,-,+,Leveraged Grower
ADANIPORTS,+,-,-,Growth/Dividend Payer
ADANIPORTS,+,-,+,Leveraged Grower
ADANIPORTS,+,-,-,Growth/Dividend Payer
ADANIPORTS,+,-,-,Growth/Dividend Payer
ADANIPORTS,+,-,-,Growth/Dividend Payer
ADANIPORTS,?,?,?,Unknown/Transition
ADANIPOWER,+,-,+,Leveraged Grower
ADANIPOWER,+,-,+,Leveraged Grower
ADANIPOWER,+,-,-,Growth/Dividend Payer
ADANIPOWER,+,-,-,Growth/Dividend Payer
ADANIPOWER,+,-,-,Growth/Dividend Payer
ADANIPOWER,+,-,-,Growth/Dividend Payer
ADANIPOWER,+,-,-,Growth/Dividend Payer
ADANIPOWER,+,-,-,Growth/Dividend Payer
ADANIPOWER,+,-,-,Growth/Dividend Payer
ADANIPOWER,+,+,-,Cash Accumulator/Asset Liquidation
ADANIPOWER,+,+,-,Cash Accumulator/Asset Liquidation
ADANIPOWER,+,+,-,Cash Accumulator/Asset Liquidation
ADANIPOWER,?,?,?,Unknown/Transition
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,-,Growth/Dividend Payer
AMBUJACEM,+,-,+,Leveraged Grower
AMBUJACEM,+,-,+,Leveraged Grower
AMBUJACEM,?,?,?,Unknown/Transition
APOLLOHOSP,+,-,+,Leveraged Grower
APOLLOHOSP,+,-,-,Growth/Dividend Payer
APOLLOHOSP,+,-,+,Leveraged Grower
APOLLOHOSP,+,-,+,Leveraged Grower
APOLLOHOSP,+,-,+,Leveraged Grower
APOLLOHOSP,+,-,-,Growth/Dividend Payer
APOLLOHOSP,+,-,-,Growth/Dividend Payer
APOLLOHOSP,+,-,-,Growth/Dividend Payer
APOLLOHOSP,+,-,-,Growth/Dividend Payer
APOLLOHOSP,+,-,-,Growth/Dividend Payer
APOLLOHOSP,+,-,-,Growth/Dividend Payer
APOLLOHOSP,+,-,-,Growth/Dividend Payer
APOLLOHOSP,?,?,?,Unknown/Transition
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
ASIANPAINT,+,-,-,Growth/Dividend Payer
