company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,Value / Moderate Compounders,0.0518537322759394
ADANIENSOL,2,Value / Moderate Compounders,0.0166482579044869
ADANIENT,2,Value / Moderate Compounders,0.0165353714084367
ADANIGREEN,1,Highly Leveraged / Financials,0.4977503747572845
ADANIPORTS,3,Value / Moderate Compounders,5.327898012599628e-05
ADANIPOWER,3,Value / Moderate Compounders,0.1141121919638662
AMBUJACEM,0,Value / Moderate Compounders,0.0527146211467574
APOLLOHOSP,3,Value / Moderate Compounders,0.0544797370612164
ASIANPAINT,0,Value / Moderate Compounders,0.0150514546456945
ATGL,0,Value / Moderate Compounders,0.1422260984328486
BAJAJ-AUTO,0,Value / Moderate Compounders,0.0312748475527749
BAJAJFINSV,4,Highly Leveraged / Financials,0.2959841571526334
BAJAJHLDNG,0,Value / Moderate Compounders,0.0607279228414946
BAJFINANCE,4,Highly Leveraged / Financials,0.2111938238486461
BEL,3,Value / Moderate Compounders,0.0140496560760012
BHARTIARTL,2,Value / Moderate Compounders,0.3822185433768323
BHEL,0,Value / Moderate Compounders,0.1447738115844503
BOSCHLTD,0,Value / Moderate Compounders,0.0598282115663665
BPCL,3,Value / Moderate Compounders,0.0651158474240704
BRITANNIA,3,Value / Moderate Compounders,0.0136123231131059
CHOLAFIN,1,Highly Leveraged / Financials,0.0487142155422429
CIPLA,0,Value / Moderate Compounders,0.0522834087844489
COALINDIA,0,Value / Moderate Compounders,0.0167994676393222
DABUR,0,Value / Moderate Compounders,0.0311498755397541
DIVISLAB,0,Value / Moderate Compounders,0.0608384386241022
DLF,0,Value / Moderate Compounders,0.0029354682495245
DMART,0,Value / Moderate Compounders,0.0418275458720329
DRREDDY,0,Value / Moderate Compounders,0.0250241661522665
EICHERMOT,0,Value / Moderate Compounders,0.0495356432248551
GAIL,0,Value / Moderate Compounders,0.0667272948214483
GODREJCP,0,Value / Moderate Compounders,0.1105644463449324
GRASIM,2,Value / Moderate Compounders,0.1022315739668214
HAL,3,Value / Moderate Compounders,0.1549610128323806
HAVELLS,0,Value / Moderate Compounders,0.0379016185261149
HCLTECH,0,Value / Moderate Compounders,0.0152545088318265
HDFCLIFE,0,Value / Moderate Compounders,0.0279191788528793
HEROMOTOCO,0,Value / Moderate Compounders,0.0442712916516704
HINDALCO,3,Value / Moderate Compounders,0.1930486386900931
HINDUNILVR,0,Value / Moderate Compounders,0.0434054898283143
ICICIGI,0,Value / Moderate Compounders,0.0611568390413058
ICICIPRULI,0,Value / Moderate Compounders,0.0611568390413058
INDIGO,0,Value / Moderate Compounders,0.0496996026226794
INFY,0,Value / Moderate Compounders,0.0080253695530038
IOC,3,Value / Moderate Compounders,0.0098641977127812
IRCTC,0,Value / Moderate Compounders,0.0546483612540232
IRFC,1,Highly Leveraged / Financials,0.2976610970349894
ITC,0,Value / Moderate Compounders,0.0589517936839649
JINDALSTEL,0,Value / Moderate Compounders,0.1379550024236241
JIOFIN,0,Value / Moderate Compounders,0.0611568390413058
JSWENERGY,3,Value / Moderate Compounders,0.1201921966970704
JSWSTEEL,3,Value / Moderate Compounders,0.1707906674726287
LICI,0,Value / Moderate Compounders,0.0611009240382496
LODHA,0,Value / Moderate Compounders,0.1787265281841195
LT,0,Value / Moderate Compounders,0.0009029744862036
LTIM,0,Value / Moderate Compounders,0.0009029744862036
M&M,2,Value / Moderate Compounders,0.1267007737267171
MARUTI,0,Value / Moderate Compounders,0.0601890171282292
MOTHERSON,3,Value / Moderate Compounders,0.0567924960806913
NAUKRI,0,Value / Moderate Compounders,0.0578123393588863
NESTLEIND,0,Value / Moderate Compounders,0.0105310729564413
NHPC,3,Value / Moderate Compounders,0.0168158332697221
NTPC,2,Value / Moderate Compounders,0.246322977193045
ONGC,3,Value / Moderate Compounders,0.1852371617161214
PFC,1,Highly Leveraged / Financials,0.5382064750659912
PIDILITIND,0,Value / Moderate Compounders,0.0374149867731789
POWERGRID,3,Value / Moderate Compounders,0.2448530636166453
RECLTD,1,Highly Leveraged / Financials,0.386831412885925
RELIANCE,0,Value / Moderate Compounders,0.1770340500879573
SBILIFE,0,Value / Moderate Compounders,0.0611568390413058
SHREECEM,0,Value / Moderate Compounders,0.0171764489644527
SHRIRAMFIN,4,Highly Leveraged / Financials,0.0847903333039855
SIEMENS,0,Value / Moderate Compounders,0.051238462341301
SUNPHARMA,0,Value / Moderate Compounders,0.0408406880599854
TATACONSUM,0,Value / Moderate Compounders,0.023164965623762
TATAMOTORS,3,Value / Moderate Compounders,0.0935821842212448
TATAPOWER,2,Value / Moderate Compounders,0.0862475744799145
TATASTEEL,3,Value / Moderate Compounders,0.1199298354043531
TCS,0,Value / Moderate Compounders,0.0124987873674848
TECHM,0,Value / Moderate Compounders,0.0191473693017508
TITAN,2,Value / Moderate Compounders,0.18240114082495
TORNTPHARM,0,Value / Moderate Compounders,0.1664140461408927
TRENT,0,Value / Moderate Compounders,0.1537184889224195
TVSMOTOR,2,Value / Moderate Compounders,0.0030038983392344
