table,source_file,rows_in,rows_out,rejected,timestamp,runtime_s
companies,companies.xlsx,92,92,0,2026-07-12T01:36:43,0.006
profitandloss,profitandloss.xlsx,1276,1070,206,2026-07-12T01:36:43,0.0279
balancesheet,balancesheet.xlsx,1312,1140,172,2026-07-12T01:36:43,0.0179
cashflow,cashflow.xlsx,1187,1056,131,2026-07-12T01:36:43,0.0141
analysis,analysis.xlsx,20,16,4,2026-07-12T01:36:43,0.0034
documents,documents.xlsx,1585,1457,128,2026-07-12T01:36:43,0.0164
prosandcons,prosandcons.xlsx,16,14,2,2026-07-12T01:36:43,0.0033
sectors,sectors.xlsx,92,92,0,2026-07-12T01:36:43,0.0048
market_cap,market_cap.xlsx,552,552,0,2026-07-12T01:36:43,0.0083
stock_prices,stock_prices.xlsx,5520,5520,0,2026-07-12T01:36:43,0.0597
peer_groups,peer_groups.xlsx,56,56,0,2026-07-12T01:36:43,0.004
financial_ratios_reference,financial_ratios.xlsx,1184,1160,24,2026-07-12T01:36:43,0.0204
