# Ratio Edge Case Log -- generated 2026-07-07T09:30:17
# Total KPI edge cases logged: 6487
# Total Day-13 ROCE/ROE cross-check anomalies: 2

## KPI edge cases
[ABB | 2012-12] interest_coverage_ratio: debt-free company (interest expense is zero)
[ABB | 2012-12] revenue_cagr_3yr: INSUFFICIENT
[ABB | 2012-12] revenue_cagr_5yr: INSUFFICIENT
[ABB | 2012-12] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2012-12] pat_cagr_3yr: INSUFFICIENT
[ABB | 2012-12] pat_cagr_5yr: INSUFFICIENT
[ABB | 2012-12] pat_cagr_10yr: INSUFFICIENT
[ABB | 2012-12] eps_cagr_3yr: INSUFFICIENT
[ABB | 2012-12] eps_cagr_5yr: INSUFFICIENT
[ABB | 2012-12] eps_cagr_10yr: INSUFFICIENT
[ABB | 2014-03] interest_coverage_ratio: debt-free company (interest expense is zero)
[ABB | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[ABB | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[ABB | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2014-03] pat_cagr_3yr: INSUFFICIENT
[ABB | 2014-03] pat_cagr_5yr: INSUFFICIENT
[ABB | 2014-03] pat_cagr_10yr: INSUFFICIENT
[ABB | 2014-03] eps_cagr_3yr: INSUFFICIENT
[ABB | 2014-03] eps_cagr_5yr: INSUFFICIENT
[ABB | 2014-03] eps_cagr_10yr: INSUFFICIENT
[ABB | 2015-03] interest_coverage_ratio: debt-free company (interest expense is zero)
[ABB | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[ABB | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[ABB | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2015-03] pat_cagr_3yr: INSUFFICIENT
[ABB | 2015-03] pat_cagr_5yr: INSUFFICIENT
[ABB | 2015-03] pat_cagr_10yr: INSUFFICIENT
[ABB | 2015-03] eps_cagr_3yr: INSUFFICIENT
[ABB | 2015-03] eps_cagr_5yr: INSUFFICIENT
[ABB | 2015-03] eps_cagr_10yr: INSUFFICIENT
[ABB | 2016-03] revenue_cagr_5yr: INSUFFICIENT
[ABB | 2016-03] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2016-03] pat_cagr_5yr: INSUFFICIENT
[ABB | 2016-03] pat_cagr_10yr: INSUFFICIENT
[ABB | 2016-03] eps_cagr_5yr: INSUFFICIENT
[ABB | 2016-03] eps_cagr_10yr: INSUFFICIENT
[ABB | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[ABB | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2017-03] pat_cagr_5yr: INSUFFICIENT
[ABB | 2017-03] pat_cagr_10yr: INSUFFICIENT
[ABB | 2017-03] eps_cagr_5yr: INSUFFICIENT
[ABB | 2017-03] eps_cagr_10yr: INSUFFICIENT
